worker_id,task_id,task_response_id,Tweet,Tweet Text
4TNHZX6VKQAA,94345b44-37a0-479a-bfc5-3950b7fa24ed,7433adb3-3869-4dab-a190-586dd9d4162b,https://twitter.com/Lex70188667/status/1544937834267623425,"Why you running like a women??? No man walks or runs one foot infront of the other, impossible??? Cat walking🚶‍♀️ transinvestigation harry maguire."
D7HVJTEKMYNW,794a2e67-413e-4e49-bb4e-aaaf887b5602,4e566967-b7e6-487f-8992-7c15a9dd15fb,https://twitter.com/ApplesAndRust/status/1541551086636568576,Fucking NIGGER crap quality I threw it in the floor one time and this happens???
KEMPHTDC6KGH,6b495266-1d2e-4ac8-8a91-0cd46ed70125,ed93d34e-a504-48a3-9d9e-82739e6cb921,https://twitter.com/Opopideis/status/1546027877019312129,"Just realized that I don’t hate niggers, what I really hate is their culture"
7ZGW996YFZ6X,6c3832a5-4ebd-4545-acf2-997751312a53,70a7654d-2f65-4bec-bdde-b783eed9c269,https://twitter.com/SnapCrackle12/status/1544355693729390593,Looks alot like Ellen Page. Is it her brother?
7ZGW996YFZ6X,ee831d3a-f8f3-4a64-a601-2033923e4375,fe877609-2166-49e9-9d20-692efdfbbe3f,https://twitter.com/patrickhenry2nd/status/1544356380743704577,"Reminder, Ellen Page is and always will be a woman."
KEMPHTDC6KGH,f4e5b787-0389-4470-ac16-9df5db1741a9,05d30935-aa05-45a1-bdc6-f7e505625591,https://twitter.com/Chrisbb76/status/1546678443084984320,"It’s so fucking gross being trapped with these ugly fuck retarded schizo faggot Canucks!
Every time I look at one of these fucked in the head pogo the clown paedo faggots I feel like I’ve been contaminated by their filth and retardation"
KEMPHTDC6KGH,e6c1c57c-9ac0-48cb-8bda-ece704fcd5f9,c0f99466-2621-4d61-b5f9-ae7bde891504,https://twitter.com/PianoMirror48/status/1546506996719165440,Dirty sand monkeys we should destroy you like we did to the Nazis
D7HVJTEKMYNW,93961823-48a6-4709-91eb-196acbe19027,f537fbcb-0aac-471c-89e0-993765d55394,https://twitter.com/gringatears/status/1530047047566606343,Look at these fucking useless beaners.
KEMPHTDC6KGH,27f221d6-9d38-4442-912f-39fabdc9e42f,5de11e7b-c10c-4c0e-8653-32fbe3c7bba6,https://twitter.com/frankgarrettbot/status/1547161980229795841,"listen you nigger lovin’ son of a bitch you, quit callin’ me god dammit and you won’t have that problem"
HRNJRA6TQGAK,206c20bf-da92-48dd-a10a-80ed68956cf6,b80c2b4f-1eda-48dd-b6e7-5ff2b7d12b34,https://twitter.com/inanout00/status/1547028633411149825,"Despite living in California, I just saw the third IRL tranny in my life.
Image"
KEMPHTDC6KGH,d7c4a54d-b54c-4aa6-9fa8-12dcbbdc3b7e,964efa97-a315-4a92-94f2-b03a4949ac9b,https://twitter.com/Rohm_Purge/status/1544687744991088643,"Eat your bugs you damn, dirty Christians. Jews and Muslims however, will NOT be eating bugs because it is neither kosher nor halal.
Still think we are all in this together?
Nationalists are the only ones telling the Truth."
9KNVR6X2DWC4,3d393972-9742-44b9-b0e5-5c8ab60e5ac1,7883c3c2-6f4c-4389-b1dc-46b892a00b3d,https://twitter.com/BadBxtchSnatchN/status/1325129949586591752,Let’s Go Nigger Up Ripple Y’all.
4FRFD66TK6XE,c82a052b-9eab-45b4-a8ee-9b434692bdf4,3417deed-7d87-40fb-85f0-1cd78fc09cff,https://twitter.com/RickCla43424795/status/1529630493225979904,The monkey pots came from the white house when Obama and Michael was in there and now its here
KEMPHTDC6KGH,4bafac79-5de0-4d44-9cac-2b7f20afbe7e,9e6449fa-e8bc-4976-ba03-336b97c603ae,https://twitter.com/SneakStir/status/1545099452859523072,"They call their group the sword masters, because they're bunch of retarded faggots"
