"Text","label"
"Why you running like a women??? No man walks or runs one foot infront of the other, impossible??? Cat walkingğŸš¶â€â™€ï¸ transinvestigation harry maguire.",1
"Fucking NIGGER crap quality I threw it in the floor one time and this happens???",1
"Just realized that I donâ€™t hate niggers, what I really hate is their culture",1
"Looks alot like Ellen Page. Is it her brother?",1
"Reminder, Ellen Page is and always will be a woman.",1
"Itâ€™s so fucking gross being trapped with these ugly fuck retarded schizo faggot Canucks!
Every time I look at one of these fucked in the head pogo the clown paedo faggots I feel like Iâ€™ve been contaminated by their filth and retardation",1
"Dirty sand monkeys we should destroy you like we did to the Nazis",1
"Look at these fucking useless beaners.",1
"listen you nigger lovinâ€™ son of a bitch you, quit callinâ€™ me god dammit and you wonâ€™t have that problem",1
"Despite living in California, I just saw the third IRL tranny in my life.
Image",1
"Eat your bugs you damn, dirty Christians. Jews and Muslims however, will NOT be eating bugs because it is neither kosher nor halal.
Still think we are all in this together?
Nationalists are the only ones telling the Truth.",1
"Letâ€™s Go Nigger Up Ripple Yâ€™all.",1
"The monkey pots came from the white house when Obama and Michael was in there and now its here",1
"They call their group the sword masters, because they're bunch of retarded faggots",1
"These politicians are a bunch of controlled puppets. Itâ€™s a comedy show Learn to laugh at these retards",1
"I reckon #Putin has been eating live Monkey Brains given to him by the dirty filthy #Chinese people @SCMPNews
@bbcnews
will know so will @cnn
#CNN",1
"They call me the vape of nanking because i be blowing clouds inside you chinks
#HeilAbe
#FourteenEightyEightyTeenSex",1
"Why do I attract the arab packi's on facebook, fuck offff",1
"dude your a grown ass beaner. you have no right to talk to me you boarder hopper. Now mow my lawn and go occupy the taco stand",1
"I always thought it was rather shortsighted of Boris Johnson to have two Asians working side-by-side with him they work for themselves not for anybody else",1
"Well yeah but let's be clear, sending blacks away was part of mainstream American political discourse basically up until WW2. Lincoln had this opinion lol. It's not like it's lunacy to suggest it",1
"The fact that theres tens of millions of Americans that hear this retard talk and not only think it's coherent but agree with it is beyond depressing and honestly just makes it hard not to just give up",1
"more like #WeAreÎiggĞµrs",1
"Japs are beyond stupid. Dying old society with no prospects.",1
"Ellen Page is a woman. No amount of surgery or hormone therapy will ever make her a man. Thatâ€™s reality.",1
"So, if there were 2.4 million Jews in German occupied Europe, then how did Hitler's Nazi kill 6 million Jews in the ""holocaust"" which, as we're forever told, happened in Nazi Germany?",1
"Every time something like #Udaipur or #NupurSharma happens, we should storm the internet with cartoons of Muhammed. We have to normalize blasphemy, for they cannot kill us all. And eventually these terror attacks will stop. We could even introduce an International blasphemy day.",1
"But none of the blacks that murdered and shot BLACKS at the weekend in Chicago have been identified.
That is the real story and it has gone on for decades.
BLACKS control everything in Chicago",1
"You let these dirty Asians these dirty nasty Mexicans come in from a third world mentality uneducated no high school diploma allow a manager sexual offender to rape a 14-year-old employee this was what get corporations burn to the ground",1
"fuck that chink",1
"Death to all blacks",1
"Right wingers when you ask them how long it takes it bake 6 million cookies with only 4 ovens",1
"iâ€™m goku faggot",1
"Very true. 6-7 years ago all the rage was I identify as an attack helicopter now those same â€œpeopleâ€ being mocked are teaching your pre schooler about sodomy and the state labels you a domestic terrorist if you publicly object",1
"Yeah sure. Lol. No. Biden is funded by Putin. And Biden is owned by Soros and China. Home of the Chinese Virus",1
"It's funny that there is an epidemic of idiots letting men who like to wear dresses into Women's prisons but it's never the other way around, can't imagine why?",1
"Hey guys, I cant sleep due to all these stupid jews and other species roaming our neighborhoods! #FixOurNeighborhoods",1
"Crackers brought back small pox and polio. I've fucking had enough. Put them in internment camps!",1
"Coz Indians smell like toilet, that why we hate them.",1
"Stupid Jap shouting stupidly at cheap yen pricesï¼But now the yen is strong! But prices keep rising!
And the stupid Jâ€™ï½“ media went silent!
they bare their idiots",1
"where did race come from? who gives a fuck about white people? I donâ€™t",1
"Whats white culture again?
Oh right they don't have any culture lol",1
"So the white house has a nappy headed  ho and a camel jockey.  Great pics Joe",1
"Wake up Canada letâ€™s set out to fuck Trudeau and the raghead",1
"Remember when U could call a terrorist a raghead and not be considered worse than the terrorist?",1
"Deport that raghead and her brother husband!!",1
"Fudge packers disease.",1
"Bring in a chink to solve the China virus make perfect sense",1
"I refuse to indulge these sick m'fker's mental illness. I will use the pronouns as I judge them. Trannys are mentally ill. It isn't transphobia that causes these sickos to kill themselves. It is mother nature culling the herd. I suppose I will get jail time now. GFY twitter.",1
"Donâ€™t be a chink lover!!  Itâ€™s a fuckin China virus . Period !!!",1
"I'd rather put a gun to my head and pull the trigger than deal with all these stupid fucking porch monkeys at this school.",1
"China virus. stupid chinks #coronavirus",1
"They need to get the Rhineland Bastard treatment when our guys win",1
"Kano State alone has more than 50 tech hubs. But ofcos David is always as stupid as he can be!! Nobody takes a bloody Fag&ot seriously.",1
"lmao 22 year old dress-wearing (tranny?) schizo purchases gun legally
out of all people only @Covidraped
is saying it: gun control won't stop these unless we go full gun ban, that's not gonna happen, the alternative is we lock up nutjobs (which helps on crime & hobo issues too)",1
"I wonder if the chinks have china virus sniffing noses? I guess we already know the answer to this ğŸ˜‚ğŸ˜‚",1
"Yea Asians are gross. White power",1
"Truth is Treason in the Empire of Lies. @jordanbpeterson did nothing wrong. Ellen page is female.",1
"Only retarded beaners play music in the hall ways out a speaker in their backpack",1
"White people are worthless trash who will be completely eliminated. There is no possibility of remediation.",1
