"","id","created_at","text","source","possibly_sensitive","type","coordinates","retweet_count","reply_count","like_count","quote_count","longitude","latitude","borough"
"1","1476729773451886592",2021-12-31,"I was genuinely hyped for a woman today for following a basic rule of the road. Fuck Staten Island","Twitter for iPhone",FALSE,NA,"NULL",0,0,2,0,NA,NA,"STATEN ISLAND"
"2","1470823526651338759",2021-12-14,"Join us on Sunday 12PM! Let’s run or walk for peace and to heal our communities. 

https://t.co/wkw5tdWt7O","Twitter for iPhone",FALSE,NA,"NULL",0,0,1,0,NA,NA,"STATEN ISLAND"
"3","1465731812983029761",2021-11-30,"Me getting on the staten island ferry: Haha fuck yeah!!! Yes!! 

Me being in staten island: Well this fucking sucks. What the fuck.","Twitter for Android",FALSE,NA,"NULL",0,0,8,0,NA,NA,"STATEN ISLAND"
"4","1463137997428334596",2021-11-23,"Its a funny song….but Pete davidson is still a doofus and dnr represent staten at all..we aint forget wut u sed u 2017…i also know how much of a cry baby lil bitch u were on the staten island comedy circut ..we know everything ya tall lanky mf","Twitter for iPhone",FALSE,NA,"NULL",0,0,1,0,NA,NA,"STATEN ISLAND"
"5","1461758029225861125",2021-11-19,"Ststen Island, let's fucking Party next month! 

@necroptic_engorgement @torturousinception @motherpugs @winternightsmetal 

#statenisland #satanclaus #partyitup #brutaldeathmetal #snowstorm #skyburial #wheresthebooze https://t.co/Od20wssHhf","Instagram",FALSE,"Point","c(-74.13521, 40.62561)",0,0,0,0,-74.13521,40.62561,"STATEN ISLAND"
"6","1458516558771335171",2021-11-10,"Nazi rally in Staten Island. Thanks for doing so much to build a base for this over the years @GOPStatenIsland @siadvance by promoting the wingnuts who’ve become such heroes that little Hitlers from out of state are attracted to our home. https://t.co/OZxijPZKgo","Twitter for iPhone",FALSE,NA,"NULL",1,2,9,1,NA,NA,"STATEN ISLAND"
"7","1456769486657409024",2021-11-05,"Damn Near 16 Years Doing This Shit On &amp; Off, But It’s All Good … It’s Gon Pay Off Soon <U+0001F4AF>

#Rapper #NYC #RebelLife #NoTimeWasted #Richmond #Rayban #YaYaFlee #HipHop @ Staten Island, New York https://t.co/fjbEyFkeuQ","Instagram",TRUE,"Point","c(-74.0889, 40.6303)",0,0,1,0,-74.0889,40.6303,"STATEN ISLAND"
"8","1454458150573256712",2021-10-30,"#throwback East Coast shit! I been wearing (maskuses) before the pandemic #2013 #nyc #shaolin #masks #iknowhowtospellmasks #lol @ Staten Island, New York https://t.co/yHRhVrA1KD","Instagram",FALSE,"Point","c(-74.0889, 40.6303)",0,0,0,0,-74.0889,40.6303,"STATEN ISLAND"
"9","1453144122341175297",2021-10-26,"Since we’re talking about the sea wall on the east shore of Staten Island…I live on the east shore of Staten Island and I REALLY fucking need that sea wall. Like for realsies. Please and thank you.","Twitter for iPhone",FALSE,NA,"NULL",0,0,7,0,NA,NA,"STATEN ISLAND"
"10","1452817584819167237",2021-10-26,"Currently, all storms are moving due North so they pose no immediate threat thankfully!. @ Thompson Street, Staten Island https://t.co/HRdk7y70sJ","Instagram",FALSE,"Point","c(-74.0768446, 40.6261237)",0,0,0,0,-74.0768446,40.6261237,"STATEN ISLAND"
"11","1452303550885908487",2021-10-24,"I’ve always said nail salons on the south shore of Staten Island are a wild place. 

I’m witnessing the live discovery of a extramarital child due to @Ancestry as we speak. Mid-manicure. You can’t make this shit up.","Twitter for iPhone",FALSE,NA,"NULL",0,1,5,0,NA,NA,"STATEN ISLAND"
"12","1450848719738388482",2021-10-20,"@LondonJennn Send all shit babies to Staten Island and we will teach them to battle. Lmao.","Twitter for iPhone",FALSE,NA,"NULL",0,1,1,0,NA,NA,"STATEN ISLAND"
"13","1448731726906286085",2021-10-14,"Talkin shit driving thru this Staten Island traffic https://t.co/7c4eJgCXA9","Twitter for Android",FALSE,NA,"NULL",1,0,1,0,NA,NA,"STATEN ISLAND"
"14","1441233966359453696",2021-09-24,"The people that are gonna do this anti vaxx sit in protest at the Staten Island mall bc they need a shot to go to the fucking food court are the same people who picketed when they had the audacity to move the Christmas tree outside in 2015","Twitter for iPhone",FALSE,NA,"NULL",0,1,5,0,NA,NA,"STATEN ISLAND"
"15","1439691651895767042",2021-09-19,"Sign up here for phone banking and door knocking at this link; 

https://t.co/NZSdLklgNF

Let's do this Staten Island! https://t.co/9PKFPcJqUa","Twitter for iPhone",FALSE,NA,"NULL",0,0,2,0,NA,NA,"STATEN ISLAND"
"16","1438980995089379331",2021-09-17,"Growing up in NYC I was always told @wutangclan ain’t nothing to fuck with! @methodmanofficial @rza @realghostfacekillah @ Shaolin Island https://t.co/Ge4KI44s1e","Instagram",FALSE,"Point","c(-74.08408821, 40.64586282)",0,0,0,0,-74.08408821,40.64586282,"STATEN ISLAND"
"17","1438632388519727104",2021-09-16,"Ok fine but as someone who is actually living on Staten Island… the biggest danger to my children is regular fucking cars. https://t.co/DLwT1UVAA4","Twitter for iPhone",FALSE,NA,"NULL",1,3,18,1,NA,NA,"STATEN ISLAND"
"18","1437277226353954818",2021-09-13,"Abortion is MURDER— 
Its not HealthCare its Murder-
Its not about a Woman’s Right to Choose it’s about a Babies Right to Live.. Protect the Unborn Stand against abortion… its Murder. @ Staten Island, New York https://t.co/mBeks8rwcw","Instagram",FALSE,"Point","c(-74.0889, 40.6303)",0,1,1,0,-74.0889,40.6303,"STATEN ISLAND"
"19","1435042349760065536",2021-09-07,"@BereftOfTheDial “You’ve got a friend in Staten Island” sounds a bit like a threat","Twitter for iPhone",FALSE,NA,"NULL",0,1,1,0,NA,NA,"STATEN ISLAND"
"20","1434275769040216065",2021-09-04,"Thank god that I never did Staten Island when I used to do door knocking <U+0001F926><U+0001F3FD><U+200D><U+2640><U+FE0F>","Twitter for iPhone",FALSE,NA,"NULL",0,0,0,0,NA,NA,"STATEN ISLAND"
"21","1433230155653255170",2021-09-02,"it really would be my fucking luck to get stuck in a fucking HURRICANE when im moving
Staten island weather giving me one final enourmous 'fuck you'","Twitter for Android",FALSE,NA,"NULL",0,0,4,0,NA,NA,"STATEN ISLAND"
"22","1433206548818432003",2021-09-01,"As Joe noted-I’m knocking doors. And I’m appalled again that he has suggested you shouldn’t open up yours and hear about your choices. Here again-he is deciding that he knows better than you. That he decides what the narrative for Staten Island is going to be.<U+0001F9F5>/5","Twitter for iPhone",FALSE,NA,"NULL",3,1,20,1,NA,NA,"STATEN ISLAND"
"23","1433206546696228866",2021-09-01,"At the time for those who remember, there were local fb groups with comments threatening violence, and the Proud Boys were claiming relevance on the island, so when I said my message came out of fear for my son and those I love-I meant that. <U+0001F9F5>/3","Twitter for iPhone",FALSE,NA,"NULL",3,1,18,0,NA,NA,"STATEN ISLAND"
"24","1431646404850720776",2021-08-28,"King shit #DHImages #outside #Agang #statenisland #700<U+0001F60E><U+0001F60E><U+0001F60E><U+0001F60E><U+0001F60E> @ Staten Island, New York https://t.co/wsJRUgVHCB","Instagram",FALSE,"Point","c(-74.0889, 40.6303)",0,0,0,0,-74.0889,40.6303,"STATEN ISLAND"
"25","1431582806296064009",2021-08-28,"13 and a bomb <U+0001F4A3> @ Staten Island, New York https://t.co/b0umEoaIHE","Instagram",FALSE,"Point","c(-74.0889, 40.6303)",0,0,0,0,-74.0889,40.6303,"STATEN ISLAND"
"26","1429096373622804481",2021-08-21,"Every man has tendencies, but hobbies man.  @alafasy May God guides us on the right path. #islam #islammylife #alafasy @ Staten Island, New York https://t.co/L2XbrZ60R8","Instagram",FALSE,"Point","c(-74.0889, 40.6303)",0,0,0,0,-74.0889,40.6303,"STATEN ISLAND"
